order_id,timestamp,warehouse_id,city,hour,day_of_week,month,is_weekend,n_items,basket_value_eur,has_heavy_items,primary_category,active_orders,warehouse_utilization,available_riders,rider_utilization,distance_km,temperature_c,is_raining,rain_intensity_mm,wind_speed_kmh,pick_time_min,rider_wait_min,travel_time_min,delivery_time_min,promised_time_min,promise_kept
ORD-000011,2025-01-01 12:46:03,MUC-01,Munich,12,2,1,0,7,14.75,0,bakery,62,0.827,9,6.2,1.93,-7.1,0,0.0,5.1,7.3,0.3,6.1,13.7,15,1
ORD-000012,2025-01-01 12:53:19,CGN-01,Cologne,12,2,1,0,4,17.33,0,beverages,41,0.745,7,5.125,0.63,-9.5,0,0.0,10.3,5.4,0.4,2.1,7.9,10,1
ORD-000013,2025-01-01 14:07:03,BER-01,Berlin,14,2,1,0,6,8.41,1,bakery,62,0.775,6,8.857,1.18,-5.7,1,0.2,8.3,8.0,2.0,4.4,14.4,15,1
ORD-000014,2025-01-01 14:58:56,HAM-01,Hamburg,14,2,1,0,4,15.69,0,personal_care,56,0.8,6,8.0,4.53,-8.9,0,0.0,28.7,5.1,0.1,12.7,17.9,15,0
ORD-000015,2025-01-01 16:28:39,HAM-01,Hamburg,16,2,1,0,8,25.46,0,meat_fish,27,0.386,2,9.0,3.11,-9.3,1,0.2,11.0,7.4,0.4,13.3,21.1,25,1
ORD-000016,2025-01-01 17:31:42,CGN-01,Cologne,17,2,1,0,6,26.93,0,frozen,8,0.145,1,4.0,0.73,-5.0,0,0.0,8.5,3.3,5.5,4.1,12.9,15,1
ORD-000017,2025-01-01 17:37:14,CGN-01,Cologne,17,2,1,0,6,18.65,0,dairy,14,0.255,3,3.5,1.39,-8.0,1,2.5,6.5,5.5,3.8,7.1,16.4,15,0
ORD-000018,2025-01-01 18:11:03,BER-02,Berlin,18,2,1,0,4,7.7,0,meat_fish,48,0.8,4,9.6,3.81,-4.2,1,1.1,15.0,5.1,0.7,23.9,29.7,25,0
ORD-000019,2025-01-01 18:14:18,BER-02,Berlin,18,2,1,0,6,21.78,0,meat_fish,49,0.817,6,7.0,2.08,-1.8,0,0.0,10.7,6.4,0.0,12.2,18.6,15,0
ORD-000020,2025-01-01 18:16:47,MUC-01,Munich,18,2,1,0,13,57.24,0,meat_fish,69,0.92,13,4.929,3.27,-11.2,0,0.0,10.3,9.7,0.0,13.4,23.1,25,1
ORD-000021,2025-01-01 18:26:01,CGN-01,Cologne,18,2,1,0,1,4.88,0,frozen,38,0.691,2,12.667,1.13,-9.3,0,0.0,8.5,4.3,4.0,6.2,14.5,15,1
ORD-000022,2025-01-01 18:31:43,BER-01,Berlin,18,2,1,0,5,20.81,0,dairy,70,0.875,11,5.833,0.89,-8.5,1,0.9,14.3,6.4,0.7,4.0,11.1,10,0
ORD-000023,2025-01-01 18:36:37,HAM-01,Hamburg,18,2,1,0,8,29.14,0,beverages,52,0.743,7,6.5,2.87,-9.8,0,0.0,13.9,5.1,1.0,11.8,17.9,15,0
ORD-000024,2025-01-01 18:47:45,CGN-01,Cologne,18,2,1,0,3,9.02,0,frozen,40,0.727,6,5.714,3.35,-6.0,0,0.0,9.4,4.3,0.0,16.5,20.8,25,1
ORD-000025,2025-01-01 18:48:39,BER-01,Berlin,18,2,1,0,6,26.99,1,alcohol,62,0.775,8,6.889,5.0,-3.5,0,0.0,14.3,6.8,0.2,26.0,33.0,35,1
ORD-000026,2025-01-01 18:53:02,HAM-01,Hamburg,18,2,1,0,5,23.91,0,alcohol,53,0.757,5,8.833,2.0,-3.2,1,0.0,10.1,6.1,0.2,8.8,15.1,15,0
ORD-000027,2025-01-01 19:24:17,MUC-01,Munich,19,2,1,0,5,11.63,0,dairy,47,0.627,6,6.714,3.31,-8.7,0,0.0,5.7,5.6,0.5,15.8,21.9,25,1
ORD-000028,2025-01-01 19:25:05,CGN-01,Cologne,19,2,1,0,5,12.93,1,household,39,0.709,4,7.8,0.71,-6.8,0,0.0,12.0,7.1,0.0,1.9,17.8,15,0
ORD-000029,2025-01-01 19:30:11,MUC-01,Munich,19,2,1,0,4,7.53,0,household,49,0.653,4,9.8,2.03,-3.7,1,5.7,8.4,4.4,0.0,10.3,14.7,15,1
ORD-000030,2025-01-01 19:32:08,HAM-01,Hamburg,19,2,1,0,5,20.25,0,meat_fish,64,0.914,5,10.667,0.53,-11.5,1,2.7,13.5,6.6,0.0,2.6,9.2,10,1
ORD-000031,2025-01-01 19:45:04,DUS-01,Düsseldorf,19,2,1,0,7,13.87,0,bakery,47,0.94,5,7.833,1.76,-0.9,1,6.5,6.6,6.8,0.6,9.9,17.3,15,0
ORD-000032,2025-01-01 20:10:33,BER-01,Berlin,20,2,1,0,1,2.5,0,meat_fish,52,0.65,7,6.5,3.22,-9.0,1,5.3,20.8,2.4,0.1,13.9,16.4,15,0
ORD-000033,2025-01-01 20:54:03,HAM-01,Hamburg,20,2,1,0,9,34.63,0,frozen,55,0.786,9,5.5,0.85,-10.4,0,0.0,30.5,6.8,0.9,2.3,16.2,15,0
ORD-000034,2025-01-01 21:23:42,HAM-01,Hamburg,21,2,1,0,3,3.0,0,personal_care,67,0.957,9,6.7,0.55,-8.9,0,0.0,15.3,6.7,0.4,2.8,9.9,10,1
ORD-000035,2025-01-01 21:35:09,BER-02,Berlin,21,2,1,0,2,2.5,1,personal_care,50,0.833,6,7.143,1.06,-10.0,1,0.7,12.1,5.8,0.0,6.1,11.9,10,0
ORD-000036,2025-01-01 21:36:18,MUC-01,Munich,21,2,1,0,6,8.83,1,alcohol,69,0.92,12,5.308,0.58,-8.9,1,2.0,14.0,7.3,0.1,1.5,14.1,15,1
ORD-000037,2025-01-01 22:00:39,BER-02,Berlin,22,2,1,0,4,12.67,0,fresh_produce,29,0.483,5,4.833,1.52,-3.4,1,1.9,16.2,5.3,0.1,7.6,13.0,15,1
ORD-000038,2025-01-01 22:08:11,HAM-01,Hamburg,22,2,1,0,9,21.66,1,snacks,25,0.357,3,6.25,2.02,-5.5,0,0.0,24.1,6.8,1.6,6.2,14.6,15,1
ORD-000039,2025-01-01 22:12:03,HAM-01,Hamburg,22,2,1,0,9,25.13,0,bakery,29,0.414,3,7.25,1.35,-7.1,0,0.0,21.0,6.0,0.4,6.9,13.3,15,1
ORD-000040,2025-01-01 23:35:01,CGN-01,Cologne,23,2,1,0,7,24.39,0,frozen,20,0.364,5,3.333,2.35,-10.1,0,0.0,9.4,4.3,0.3,7.9,12.5,15,1
ORD-000041,2025-01-02 01:22:31,DUS-01,Düsseldorf,1,3,1,0,4,14.13,1,personal_care,12,0.24,1,6.0,1.08,-9.9,1,2.2,20.3,4.8,15.0,6.2,26.0,25,0
ORD-000042,2025-01-02 08:16:58,BER-01,Berlin,8,3,1,0,2,3.15,0,alcohol,31,0.388,6,4.429,1.57,-6.0,0,0.0,9.6,5.1,0.1,7.5,12.7,15,1
ORD-000043,2025-01-02 09:59:59,DUS-01,Düsseldorf,9,3,1,0,6,10.88,0,dairy,14,0.28,3,3.5,1.41,-7.5,0,0.0,13.7,5.5,0.3,6.1,11.9,10,0
ORD-000044,2025-01-02 10:18:58,DUS-01,Düsseldorf,10,3,1,0,3,12.39,1,bakery,17,0.34,2,5.667,0.3,-14.9,1,10.5,8.1,5.3,0.3,1.5,7.1,10,1
ORD-000045,2025-01-02 11:04:46,BER-01,Berlin,11,3,1,0,7,29.34,1,alcohol,25,0.312,3,6.25,3.5,-11.3,0,0.0,34.6,5.8,0.6,10.8,17.2,15,0
ORD-000046,2025-01-02 11:39:47,DUS-01,Düsseldorf,11,3,1,0,5,18.62,0,frozen,17,0.34,3,4.25,0.44,-8.7,0,0.0,18.0,3.4,3.8,1.5,12.6,15,1
ORD-000047,2025-01-02 12:20:06,MUC-01,Munich,12,3,1,0,2,6.41,0,beverages,67,0.893,5,11.167,3.17,-4.1,0,0.0,12.5,5.1,0.1,8.7,13.9,15,1
ORD-000048,2025-01-02 12:24:33,DUS-01,Düsseldorf,12,3,1,0,1,2.5,1,beverages,43,0.86,5,7.167,1.23,-12.5,0,0.0,9.1,6.1,0.1,4.0,10.2,10,0
ORD-000049,2025-01-02 12:31:24,DUS-01,Düsseldorf,12,3,1,0,2,6.48,1,bakery,38,0.76,4,7.6,1.29,-9.4,1,0.8,14.7,6.3,0.2,5.8,12.3,15,1
ORD-000050,2025-01-02 12:45:01,CGN-01,Cologne,12,3,1,0,3,7.26,1,meat_fish,52,0.945,3,13.0,2.33,-7.3,0,0.0,11.6,6.5,1.8,11.3,30.9,35,1
ORD-000051,2025-01-02 12:56:17,HAM-01,Hamburg,12,3,1,0,5,15.41,0,fresh_produce,40,0.571,4,8.0,1.46,-2.2,0,0.0,26.1,4.8,0.6,2.4,7.8,10,1
ORD-000052,2025-01-02 12:58:46,MUC-01,Munich,12,3,1,0,4,3.78,0,household,63,0.84,12,4.846,0.71,-7.6,0,0.0,10.6,7.9,0.2,4.4,12.5,15,1
ORD-000053,2025-01-02 13:05:49,HAM-01,Hamburg,13,3,1,0,3,8.24,0,fresh_produce,63,0.9,4,12.6,1.0,-2.1,1,2.7,11.3,5.6,0.4,4.9,10.9,10,0
ORD-000054,2025-01-02 13:09:37,HAM-01,Hamburg,13,3,1,0,7,25.77,0,alcohol,59,0.843,12,4.538,0.53,-8.0,1,0.0,18.9,9.1,0.0,1.5,10.6,10,0
ORD-000055,2025-01-02 13:24:56,BER-02,Berlin,13,3,1,0,3,8.16,0,snacks,34,0.567,5,5.667,1.14,-0.9,1,7.5,15.6,4.9,0.1,4.8,9.8,10,1
ORD-000056,2025-01-02 13:38:33,HAM-01,Hamburg,13,3,1,0,7,19.2,0,dairy,54,0.771,9,5.4,1.57,-7.8,0,0.0,22.4,5.0,0.2,3.7,8.9,10,1
ORD-000057,2025-01-02 14:56:42,CGN-01,Cologne,14,3,1,0,7,17.07,0,bakery,49,0.891,10,4.455,3.36,-2.5,1,3.3,10.5,6.9,0.2,11.9,19.0,15,0
ORD-000058,2025-01-02 15:29:48,CGN-01,Cologne,15,3,1,0,8,18.16,1,meat_fish,11,0.2,1,5.5,0.61,-10.8,1,5.4,8.5,6.2,5.1,3.6,14.9,15,1
ORD-000059,2025-01-02 16:19:43,DUS-01,Düsseldorf,16,3,1,0,4,7.1,0,dairy,16,0.32,2,5.333,2.57,-9.4,0,0.0,12.4,5.0,1.9,8.3,15.2,15,0
ORD-000060,2025-01-02 17:07:42,BER-02,Berlin,17,3,1,0,2,6.85,0,fresh_produce,28,0.467,4,5.6,4.44,-10.8,1,5.4,8.1,3.1,1.1,24.5,28.7,25,0
ORD-000061,2025-01-02 17:20:51,MUC-01,Munich,17,3,1,0,7,10.26,0,meat_fish,25,0.333,5,4.167,1.11,-5.5,0,0.0,9.1,5.4,0.1,4.9,10.4,10,0
ORD-000062,2025-01-02 17:28:55,MUC-01,Munich,17,3,1,0,6,6.62,0,alcohol,26,0.347,4,5.2,0.3,-6.9,0,0.0,14.5,3.4,0.5,1.5,5.4,10,1
ORD-000063,2025-01-02 18:04:12,BER-01,Berlin,18,3,1,0,4,4.29,0,alcohol,67,0.838,14,4.467,2.48,-11.0,1,4.0,8.0,4.4,0.1,17.1,21.6,25,1
ORD-000064,2025-01-02 18:17:30,HAM-01,Hamburg,18,3,1,0,4,9.46,1,frozen,46,0.657,4,9.2,0.3,-9.4,0,0.0,26.3,4.6,0.1,1.5,6.2,10,1
ORD-000065,2025-01-02 18:29:07,BER-02,Berlin,18,3,1,0,4,5.23,0,frozen,51,0.85,12,3.923,1.23,-9.5,0,0.0,14.8,6.1,0.3,5.6,12.0,15,1
ORD-000066,2025-01-02 18:29:16,DUS-01,Düsseldorf,18,3,1,0,3,7.35,1,personal_care,49,0.98,7,6.125,1.19,-5.8,0,0.0,8.2,9.4,0.0,7.5,16.9,15,0
ORD-000067,2025-01-02 18:49:17,DUS-01,Düsseldorf,18,3,1,0,4,10.14,0,meat_fish,43,0.86,8,4.778,0.3,-6.3,0,0.0,17.4,4.5,0.0,2.2,6.7,10,1
ORD-000068,2025-01-02 19:06:35,CGN-01,Cologne,19,3,1,0,3,16.41,0,dairy,48,0.873,4,9.6,3.37,-9.1,1,1.4,11.6,5.4,0.3,18.9,24.6,25,1
ORD-000069,2025-01-02 19:26:01,HAM-01,Hamburg,19,3,1,0,3,4.59,0,personal_care,43,0.614,5,7.167,1.31,-9.4,0,0.0,10.0,4.9,0.4,7.2,12.5,15,1
ORD-000070,2025-01-02 19:45:13,BER-02,Berlin,19,3,1,0,3,11.05,0,bakery,59,0.983,5,9.833,0.3,-12.4,0,0.0,4.7,6.0,0.1,1.5,7.6,10,1
ORD-000071,2025-01-02 19:51:33,DUS-01,Düsseldorf,19,3,1,0,5,8.75,0,household,33,0.66,5,5.5,2.02,-10.8,1,3.1,10.5,5.5,0.0,13.3,18.8,15,0
ORD-000072,2025-01-02 19:53:16,BER-02,Berlin,19,3,1,0,5,16.95,0,snacks,60,1.0,4,12.0,1.39,-6.4,1,0.7,19.4,5.9,0.0,6.8,12.7,15,1
ORD-000073,2025-01-02 19:56:01,HAM-01,Hamburg,19,3,1,0,4,6.85,0,fresh_produce,62,0.886,4,12.4,0.78,-5.7,0,0.0,11.4,5.8,0.2,3.4,9.4,10,1
ORD-000074,2025-01-02 20:16:59,BER-02,Berlin,20,3,1,0,6,24.36,0,fresh_produce,50,0.833,6,7.143,1.66,-11.9,1,1.3,19.7,7.0,0.2,7.9,15.1,15,0
ORD-000075,2025-01-02 20:26:40,DUS-01,Düsseldorf,20,3,1,0,7,28.98,1,bakery,47,0.94,6,6.714,1.68,-6.7,0,0.0,6.0,7.6,0.0,3.8,11.4,10,0
ORD-000076,2025-01-02 20:35:06,BER-01,Berlin,20,3,1,0,3,8.68,0,alcohol,61,0.762,9,6.1,2.56,-1.0,1,0.7,8.1,6.1,0.4,11.7,30.0,35,1
ORD-000077,2025-01-02 21:23:40,BER-01,Berlin,21,3,1,0,8,32.1,0,meat_fish,72,0.9,15,4.5,2.85,-6.4,0,0.0,4.9,6.3,1.4,8.0,15.7,15,0
ORD-000078,2025-01-02 21:50:48,CGN-01,Cologne,21,3,1,0,5,22.58,1,dairy,37,0.673,8,4.111,0.38,-4.1,1,0.3,15.0,8.1,0.8,1.5,10.4,10,0
ORD-000079,2025-01-02 22:44:00,BER-01,Berlin,22,3,1,0,7,16.96,1,beverages,27,0.338,4,5.4,1.17,-10.3,0,0.0,19.4,5.8,0.2,3.7,9.7,10,1
ORD-000080,2025-01-02 22:54:50,DUS-01,Düsseldorf,22,3,1,0,7,18.66,1,household,14,0.28,1,7.0,2.98,-9.3,0,0.0,7.1,6.0,3.6,10.0,28.5,25,0
ORD-000081,2025-01-03 08:59:41,BER-02,Berlin,8,4,1,0,2,4.63,0,bakery,26,0.433,4,5.2,3.87,-7.9,0,0.0,10.2,3.5,0.3,16.7,25.4,25,0
ORD-000082,2025-01-03 09:30:10,DUS-01,Düsseldorf,9,4,1,0,6,22.83,1,dairy,17,0.34,1,8.5,1.68,-5.2,0,0.0,9.1,5.8,2.9,7.3,16.0,15,0
ORD-000083,2025-01-03 10:06:03,MUC-01,Munich,10,4,1,0,3,12.08,0,frozen,13,0.173,2,4.333,1.09,-5.9,0,0.0,15.0,1.8,0.3,3.7,14.6,15,1
ORD-000084,2025-01-03 10:09:50,MUC-01,Munich,10,4,1,0,4,12.03,0,alcohol,27,0.36,5,4.5,1.27,-12.7,0,0.0,8.1,3.7,0.1,4.4,8.2,10,1
ORD-000085,2025-01-03 10:48:11,DUS-01,Düsseldorf,10,4,1,0,7,23.86,0,meat_fish,14,0.28,2,4.667,0.74,0.4,0,0.0,5.3,4.5,1.5,1.5,7.5,10,1
ORD-000086,2025-01-03 11:00:00,HAM-01,Hamburg,11,4,1,0,12,45.31,0,alcohol,26,0.371,3,6.5,0.3,-3.0,0,0.0,15.4,8.1,0.4,1.5,10.0,10,1
ORD-000087,2025-01-03 12:16:47,HAM-01,Hamburg,12,4,1,0,7,18.82,0,household,54,0.771,9,5.4,1.39,-9.1,1,0.5,8.9,6.2,0.6,6.2,13.0,15,1
ORD-000088,2025-01-03 12:22:29,BER-02,Berlin,12,4,1,0,9,25.67,1,dairy,44,0.733,8,4.889,1.24,-7.3,1,2.0,7.2,8.3,0.0,4.9,13.2,15,1
ORD-000089,2025-01-03 12:30:04,BER-01,Berlin,12,4,1,0,3,12.01,0,personal_care,53,0.662,4,10.6,2.93,-2.8,1,0.5,10.5,4.3,0.6,10.5,15.4,15,0
ORD-000090,2025-01-03 13:16:21,CGN-01,Cologne,13,4,1,0,7,9.21,0,dairy,46,0.836,3,11.5,1.45,-10.5,1,2.9,12.1,6.9,0.5,6.9,14.3,15,1
ORD-000091,2025-01-03 13:21:03,BER-01,Berlin,13,4,1,0,5,17.64,0,household,76,0.95,16,4.471,0.61,-7.1,0,0.0,5.6,6.0,0.6,1.5,8.1,10,1
ORD-000092,2025-01-03 13:31:14,HAM-01,Hamburg,13,4,1,0,8,14.43,1,alcohol,45,0.643,6,6.429,0.97,-6.2,1,3.9,5.8,6.8,0.1,4.3,11.2,10,0
ORD-000093,2025-01-03 13:39:58,HAM-01,Hamburg,13,4,1,0,8,18.83,0,meat_fish,53,0.757,7,6.625,1.53,-9.7,1,1.1,18.3,6.6,1.0,8.9,16.5,15,0
ORD-000094,2025-01-03 16:28:22,MUC-01,Munich,16,4,1,0,4,10.22,0,snacks,18,0.24,3,4.5,1.23,-6.7,0,0.0,23.5,5.3,3.0,5.6,13.9,15,1
ORD-000095,2025-01-03 17:09:48,BER-02,Berlin,17,4,1,0,3,6.11,0,personal_care,22,0.367,3,5.5,3.96,-5.6,0,0.0,17.0,5.1,1.9,14.7,21.7,25,1
ORD-000096,2025-01-03 17:14:50,CGN-01,Cologne,17,4,1,0,8,31.92,1,beverages,21,0.382,2,7.0,1.55,-5.8,0,0.0,6.1,7.6,0.7,7.2,15.5,15,0
ORD-000097,2025-01-03 19:01:46,BER-02,Berlin,19,4,1,0,7,31.85,1,household,34,0.567,6,4.857,2.35,-2.1,0,0.0,13.4,8.8,0.5,12.7,22.0,25,1
ORD-000098,2025-01-03 19:35:03,CGN-01,Cologne,19,4,1,0,5,9.17,1,meat_fish,43,0.782,8,4.778,1.25,-5.2,0,0.0,13.0,6.8,0.2,6.1,13.1,15,1
ORD-000099,2025-01-03 19:58:44,CGN-01,Cologne,19,4,1,0,4,4.11,1,snacks,40,0.727,9,4.0,3.91,-8.1,1,4.7,9.2,6.7,1.5,23.1,31.3,35,1
ORD-000100,2025-01-03 20:01:21,BER-01,Berlin,20,4,1,0,5,12.51,0,dairy,70,0.875,10,6.364,1.6,-5.0,0,0.0,4.3,7.3,0.6,3.7,11.6,10,0
ORD-000101,2025-01-03 20:17:35,CGN-01,Cologne,20,4,1,0,6,8.33,1,household,55,1.0,9,5.5,1.17,-7.8,0,0.0,19.1,8.3,0.3,3.2,11.8,10,0
ORD-000102,2025-01-03 20:30:17,MUC-01,Munich,20,4,1,0,3,11.28,0,fresh_produce,58,0.773,11,4.833,1.33,-7.6,1,2.2,14.3,4.9,0.4,7.5,12.8,15,1
ORD-000103,2025-01-03 20:34:59,DUS-01,Düsseldorf,20,4,1,0,7,18.1,1,personal_care,46,0.92,6,6.571,0.75,-5.4,1,1.4,9.5,8.0,0.6,2.7,11.3,10,0
ORD-000104,2025-01-03 20:37:12,HAM-01,Hamburg,20,4,1,0,6,18.7,0,beverages,60,0.857,12,4.615,1.24,-4.9,0,0.0,13.9,6.8,0.1,3.2,10.1,10,0
ORD-000105,2025-01-03 20:43:04,BER-02,Berlin,20,4,1,0,7,16.15,0,snacks,48,0.8,7,6.0,3.29,-9.8,0,0.0,7.1,7.7,0.1,11.0,18.8,15,0
ORD-000106,2025-01-03 20:46:15,DUS-01,Düsseldorf,20,4,1,0,7,20.83,0,household,33,0.66,3,8.25,1.91,-11.5,0,0.0,15.4,5.8,0.6,5.8,12.2,15,1
ORD-000107,2025-01-03 21:00:17,CGN-01,Cologne,21,4,1,0,2,6.81,0,dairy,40,0.727,6,5.714,1.52,-6.9,0,0.0,5.6,5.1,0.3,2.7,8.1,10,1
ORD-000108,2025-01-03 21:44:22,BER-01,Berlin,21,4,1,0,6,16.73,0,frozen,68,0.85,8,7.556,3.21,-5.8,0,0.0,15.8,6.8,0.1,9.6,16.5,15,0
ORD-000109,2025-01-03 21:45:42,DUS-01,Düsseldorf,21,4,1,0,7,29.43,0,snacks,37,0.74,5,6.167,1.38,-8.3,0,0.0,5.6,6.7,0.4,3.2,10.3,10,0
ORD-000110,2025-01-03 22:01:28,DUS-01,Düsseldorf,22,4,1,0,5,10.69,1,frozen,16,0.32,3,4.0,1.01,-3.6,0,0.0,17.6,6.3,0.2,2.5,9.0,10,1
ORD-000111,2025-01-03 22:35:22,BER-02,Berlin,22,4,1,0,6,17.65,0,bakery,17,0.283,2,5.667,0.59,-8.7,0,0.0,9.2,3.2,1.5,1.5,6.2,10,1
ORD-000112,2025-01-03 22:45:27,BER-01,Berlin,22,4,1,0,3,6.96,1,dairy,18,0.225,1,9.0,0.66,-9.6,0,0.0,6.5,3.8,12.7,1.5,18.0,15,0
ORD-000113,2025-01-04 00:36:23,MUC-01,Munich,0,5,1,1,5,8.95,0,household,23,0.307,1,11.5,2.33,-5.8,0,0.0,17.9,3.3,1.4,6.7,11.4,10,0
ORD-000114,2025-01-04 06:40:56,DUS-01,Düsseldorf,6,5,1,1,6,17.57,0,fresh_produce,21,0.42,3,5.25,4.13,-8.3,0,0.0,20.9,5.5,0.3,13.2,19.0,15,0
ORD-000115,2025-01-04 07:10:14,BER-01,Berlin,7,5,1,1,3,10.24,1,beverages,33,0.412,4,6.6,2.38,-7.0,0,0.0,14.5,5.0,0.1,7.5,12.6,15,1
ORD-000116,2025-01-04 08:03:19,MUC-01,Munich,8,5,1,1,2,6.98,0,bakery,44,0.587,6,6.286,1.75,-4.9,1,3.3,12.4,4.9,0.5,11.5,16.9,15,0
ORD-000117,2025-01-04 08:59:39,CGN-01,Cologne,8,5,1,1,4,9.94,0,frozen,32,0.582,1,16.0,1.15,-3.8,0,0.0,32.6,4.7,5.4,6.9,27.9,25,0
ORD-000118,2025-01-04 09:19:48,BER-01,Berlin,9,5,1,1,4,11.86,1,snacks,41,0.512,2,13.667,0.65,-4.7,1,3.1,7.6,6.5,0.5,4.3,11.3,10,0
ORD-000119,2025-01-04 09:23:16,HAM-01,Hamburg,9,5,1,1,3,4.73,0,snacks,30,0.429,2,10.0,0.3,-3.4,0,0.0,8.3,3.1,1.8,1.5,6.4,10,1
ORD-000120,2025-01-04 09:41:54,BER-01,Berlin,9,5,1,1,2,2.5,1,personal_care,45,0.562,2,15.0,3.24,-2.9,1,1.1,21.5,5.5,1.1,21.0,27.6,25,0
ORD-000121,2025-01-04 12:25:01,MUC-01,Munich,12,5,1,1,8,21.79,0,bakery,62,0.827,5,10.333,4.97,-9.7,1,0.5,11.7,8.3,0.3,19.0,27.6,25,0
ORD-000122,2025-01-04 12:27:10,HAM-01,Hamburg,12,5,1,1,4,16.32,0,snacks,58,0.829,9,5.8,1.85,-3.4,0,0.0,22.2,4.9,0.0,6.2,11.1,10,0
ORD-000123,2025-01-04 13:20:35,BER-02,Berlin,13,5,1,1,3,10.18,0,alcohol,60,1.0,8,6.667,0.76,-15.1,1,0.9,8.0,6.8,0.7,3.0,10.5,10,0
ORD-000124,2025-01-04 13:27:57,CGN-01,Cologne,13,5,1,1,4,15.94,0,dairy,55,1.0,3,13.75,5.26,-8.8,0,0.0,24.8,4.7,10.2,16.1,31.0,35,1
ORD-000125,2025-01-04 13:50:49,HAM-01,Hamburg,13,5,1,1,6,24.48,0,dairy,70,1.0,9,7.0,3.05,-4.9,0,0.0,5.4,7.5,0.1,7.8,15.4,15,0
ORD-000126,2025-01-04 13:54:33,MUC-01,Munich,13,5,1,1,11,35.92,0,snacks,75,1.0,11,6.25,1.43,-5.6,0,0.0,9.8,9.1,0.2,3.2,12.5,15,1
ORD-000127,2025-01-04 14:05:37,CGN-01,Cologne,14,5,1,1,4,12.87,0,beverages,55,1.0,8,6.111,1.03,-6.4,1,2.9,4.4,6.4,0.5,4.0,18.7,15,0
ORD-000128,2025-01-04 14:22:15,BER-01,Berlin,14,5,1,1,6,20.72,0,alcohol,80,1.0,12,6.154,1.3,-10.0,0,0.0,3.2,7.2,0.5,3.8,11.5,10,0
ORD-000129,2025-01-04 14:26:11,BER-01,Berlin,14,5,1,1,6,20.72,0,beverages,80,1.0,8,8.889,1.64,-8.7,1,1.1,11.4,7.7,0.8,8.5,17.0,15,0
ORD-000130,2025-01-04 14:41:08,BER-01,Berlin,14,5,1,1,8,34.51,0,alcohol,79,0.988,9,7.9,1.05,-8.1,1,4.6,16.7,7.6,0.2,4.0,11.8,10,0
ORD-000131,2025-01-04 14:53:28,BER-02,Berlin,14,5,1,1,4,18.38,0,fresh_produce,58,0.967,3,14.5,1.43,-9.9,1,2.7,27.3,5.2,0.3,6.9,12.4,15,1
ORD-000132,2025-01-04 15:07:37,CGN-01,Cologne,15,5,1,1,4,10.4,0,frozen,28,0.509,3,7.0,0.45,-3.5,1,1.2,19.3,5.4,0.3,1.5,17.8,15,0
